id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,year_remod
109,533352170,60,5,78.0,13517,1,2,2,1,2,4,0,8,2,4,3,6,6,8,44.45222154178574,2005,2,0,8,10,2,289.0,2,3,3,2,2,0,5,533.0,3,0.0,192.0,725.0,4,4,1,4,725,754,0,1479,0.0,0.0,2,1,3,1,2,6,7,0,5,4,1976.0,1,2.0,475.0,2,3,2,0,44,0,0,0,0,4,4,4,0,3,2010,4,130500,44.77722635447622
544,531379050,60,5,43.0,11492,1,2,2,1,2,4,0,13,5,4,3,6,7,5,44.67661580737735,1997,2,0,11,12,2,132.0,2,3,5,3,2,0,5,637.0,3,0.0,276.0,913.0,4,4,1,4,913,1209,0,2122,1.0,0.0,2,1,4,1,2,8,7,1,2,4,1997.0,1,2.0,559.0,2,3,2,0,74,0,0,0,0,4,4,4,0,4,2009,4,220000,44.68780594300866
153,535304180,20,5,68.0,7922,1,2,0,1,2,1,0,11,5,4,3,4,5,7,44.19275958796871,2007,2,0,11,12,1,0.0,1,2,3,2,2,0,5,731.0,3,0.0,326.0,1057.0,4,2,1,4,1057,0,0,1057,1.0,0.0,1,0,3,1,2,5,7,0,5,1,1953.0,0,1.0,246.0,2,3,2,0,52,0,0,0,0,4,4,4,0,1,2010,4,109000,44.799553569204235
318,916386060,60,5,73.0,9802,1,2,0,1,2,1,0,22,5,4,3,6,5,5,44.78839135311738,2007,2,0,11,12,1,0.0,1,3,5,3,2,0,4,0.0,3,0.0,384.0,384.0,4,3,1,4,744,700,0,1444,0.0,0.0,2,1,3,1,1,7,7,0,5,5,2007.0,2,2.0,400.0,2,3,2,100,0,0,0,0,0,4,4,4,0,4,2010,4,174000,44.799553569204235
255,906425045,50,5,82.0,14235,1,2,2,1,2,1,0,13,5,4,3,1,6,8,43.58898943540674,1993,2,0,5,10,1,0.0,1,3,5,1,4,0,4,0.0,3,0.0,676.0,676.0,4,2,1,4,831,614,0,1445,0.0,0.0,2,0,3,1,1,6,7,0,5,1,1957.0,0,2.0,484.0,2,3,0,0,59,0,0,0,0,4,4,4,0,3,2010,4,138500,44.64302857109943
138,535126040,20,5,137.0,16492,1,2,2,1,2,2,0,11,7,4,3,4,6,6,44.339598554790726,2002,2,0,10,10,1,0.0,2,3,3,2,2,0,3,247.0,2,713.0,557.0,1517.0,4,4,1,4,1888,0,0,1888,0.0,0.0,2,1,2,1,2,6,3,1,3,4,1966.0,2,2.0,578.0,2,3,2,0,0,0,0,0,0,4,4,4,0,6,2010,4,190000,44.74371464239419
2827,908186070,180,3,35.0,3675,1,2,0,1,2,1,0,5,5,4,4,2,6,5,44.77722635447622,2006,2,0,11,12,2,82.0,1,3,5,3,2,3,5,547.0,3,0.0,0.0,547.0,4,3,1,4,1072,0,0,1072,1.0,0.0,2,0,2,1,1,5,7,0,5,2,2005.0,2,2.0,525.0,2,3,2,0,44,0,0,0,0,4,4,4,0,6,2006,8,140000,44.78839135311738
145,535154050,20,5,70.0,12160,1,2,2,1,2,1,0,11,5,4,3,4,5,5,44.26059195266146,1959,5,0,9,10,2,180.0,1,3,3,2,2,0,0,1000.0,3,0.0,188.0,1188.0,4,1,1,4,1188,0,0,1188,1.0,0.0,1,0,3,1,1,6,7,0,5,4,1959.0,1,2.0,531.0,2,3,2,0,0,0,0,0,0,4,2,4,0,5,2010,3,142000,44.26059195266146
1942,535353130,20,5,60.0,15783,1,2,0,1,2,1,0,3,0,4,3,4,5,5,44.181444068749045,1952,2,0,5,5,1,0.0,1,3,3,2,2,0,0,292.0,3,0.0,632.0,924.0,4,2,1,4,924,0,0,924,0.0,0.0,1,0,2,1,1,6,7,0,5,1,1952.0,0,1.0,420.0,2,3,2,0,324,0,0,0,0,4,2,1,400,6,2007,4,112500,44.181444068749045
1956,535426130,60,5,70.0,11606,1,2,2,3,2,1,1,11,5,4,3,6,5,5,44.37341546466758,1969,2,0,9,10,2,192.0,1,3,5,3,2,2,0,650.0,3,0.0,390.0,1040.0,4,2,1,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,0,9,7,2,2,4,1969.0,0,2.0,504.0,2,3,2,335,0,0,0,0,0,4,4,4,0,9,2007,4,135000,44.37341546466758
1044,527451290,160,3,21.0,1680,1,2,0,1,2,1,0,2,5,4,1,6,6,5,44.395945760846224,1971,2,0,8,9,2,232.0,1,3,3,2,2,0,3,387.0,3,0.0,96.0,483.0,4,2,1,4,483,504,0,987,0.0,0.0,1,1,2,1,1,4,7,0,5,1,1971.0,0,1.0,264.0,2,3,2,0,0,0,0,0,0,4,4,4,0,7,2008,3,85400,44.395945760846224
2752,906380150,20,5,64.0,7488,1,2,2,1,2,1,0,18,5,4,3,4,7,5,44.77722635447622,2005,2,0,11,12,1,0.0,2,3,5,3,2,2,5,393.0,3,0.0,815.0,1208.0,4,4,1,4,1208,0,0,1208,0.0,0.0,2,0,2,1,2,6,7,0,5,4,2005.0,1,2.0,632.0,2,3,2,105,58,0,0,0,0,4,4,4,0,2,2006,4,183600,44.77722635447622
807,906226060,70,5,120.0,26400,1,2,0,0,2,0,0,13,3,4,3,6,5,7,43.3589667773576,2007,2,0,8,9,1,0.0,2,3,5,5,5,4,6,0.0,6,0.0,0.0,0.0,4,4,1,4,1288,728,0,2016,0.0,0.0,1,0,4,1,1,7,3,1,2,4,1900.0,0,2.0,576.0,2,3,1,0,0,0,0,0,0,4,4,4,0,6,2009,4,131000,44.799553569204235
1177,533236070,160,6,24.0,2645,1,1,0,1,2,1,0,21,5,4,1,6,8,5,44.710177812216315,2000,2,0,6,8,2,456.0,2,3,5,3,2,0,5,813.0,3,0.0,147.0,960.0,4,4,1,4,962,645,0,1607,1.0,0.0,2,1,3,1,2,7,7,0,5,1,2000.0,0,2.0,480.0,2,3,2,169,0,0,0,0,0,4,4,4,0,12,2008,2,200000,44.721359549995796
1480,907418040,20,5,74.0,9627,1,2,0,1,2,1,0,18,5,4,3,4,7,5,44.799553569204235,2007,2,0,11,12,1,0.0,2,3,5,3,2,2,5,24.0,3,0.0,1327.0,1351.0,4,4,1,4,1361,0,0,1361,0.0,0.0,2,0,3,1,2,6,7,0,5,4,2007.0,1,2.0,610.0,2,3,2,0,50,0,0,0,0,4,4,4,0,6,2008,4,193000,44.799553569204235
324,923202105,20,5,93.0,10114,1,2,0,1,2,1,0,12,5,4,3,4,5,5,44.76605857119878,2005,2,0,11,12,1,0.0,1,3,5,4,2,2,4,0.0,3,0.0,1430.0,1430.0,4,4,1,4,1430,0,0,1430,0.0,0.0,2,0,3,1,2,7,7,0,5,4,2004.0,1,2.0,624.0,2,3,2,0,0,0,0,0,0,4,4,4,0,3,2010,4,173500,44.77722635447622
1311,902301140,70,3,34.0,4571,1,0,0,1,2,1,0,3,5,4,3,6,5,5,43.77213725647858,1950,2,0,2,1,1,0.0,1,3,1,2,2,0,4,0.0,3,0.0,624.0,624.0,4,1,0,4,624,720,0,1344,0.0,0.0,1,0,4,1,1,7,7,0,5,1,1916.0,0,3.0,513.0,1,1,2,0,0,96,0,0,0,4,4,4,0,5,2008,3,98000,44.15880433163923
770,905101490,20,5,80.0,8816,1,2,0,1,2,2,0,8,3,4,3,4,5,6,44.30575583375144,1963,2,0,11,12,1,0.0,1,3,5,2,2,0,0,651.0,3,0.0,470.0,1121.0,4,2,1,4,1121,0,0,1121,1.0,0.0,1,0,3,1,1,5,7,0,5,1,1963.0,0,2.0,480.0,2,3,2,0,80,0,0,0,0,4,2,4,0,6,2009,4,139000,44.30575583375144
2063,905107140,20,5,71.0,8197,1,2,0,1,2,1,0,8,5,4,3,4,6,5,44.46346815083142,1977,2,0,9,10,2,148.0,1,3,3,2,2,0,4,0.0,3,0.0,660.0,660.0,4,4,1,4,1285,0,0,1285,0.0,0.0,1,1,3,1,1,7,7,1,2,4,1977.0,1,2.0,528.0,2,3,2,138,0,0,0,0,0,4,2,4,0,4,2007,4,143500,44.46346815083142
69,528458070,60,6,72.0,8640,1,2,0,1,2,1,0,21,5,4,3,6,7,5,44.82186966202994,2009,2,0,11,12,1,0.0,1,3,5,3,2,1,5,24.0,3,0.0,732.0,756.0,4,4,1,4,764,783,0,1547,0.0,0.0,2,1,3,1,2,7,7,0,5,4,2009.0,0,2.0,614.0,2,3,2,169,45,0,0,0,0,4,4,4,0,6,2010,7,215200,44.82186966202994
2062,905106150,20,5,109.0,8724,1,2,0,1,2,1,0,8,5,4,3,4,5,5,44.36214602563767,1968,2,0,11,12,1,0.0,1,3,3,3,2,0,1,492.0,3,0.0,402.0,894.0,4,3,1,4,894,0,0,894,0.0,0.0,1,0,3,1,1,5,7,1,0,4,1968.0,2,2.0,450.0,2,3,2,0,0,0,0,0,0,4,4,4,0,5,2007,4,129000,44.36214602563767
351,527131030,120,5,40.0,5664,1,2,2,1,2,1,0,27,5,4,4,4,8,5,44.721359549995796,2000,2,0,12,14,1,0.0,2,3,5,3,2,0,5,1158.0,3,0.0,343.0,1501.0,4,4,1,4,1659,0,0,1659,1.0,0.0,2,0,2,1,3,5,7,1,4,4,2000.0,2,2.0,499.0,2,3,2,212,59,0,0,0,0,4,4,4,0,10,2009,4,278000,44.721359549995796
2393,528142010,60,5,103.0,12867,1,2,2,1,2,2,0,26,5,4,3,6,8,5,44.77722635447622,2006,2,0,12,14,4,170.0,2,3,5,4,2,2,4,0.0,3,0.0,1209.0,1209.0,4,4,1,4,1209,1044,0,2253,0.0,0.0,2,1,3,1,3,8,7,1,3,4,2005.0,2,2.0,575.0,2,3,2,243,142,0,0,0,0,4,4,4,0,7,2006,8,344133,44.78839135311738
12,527165230,20,5,80.0,7980,1,2,2,1,2,1,0,15,5,4,3,4,6,7,44.63182720884279,2007,2,0,8,9,1,0.0,1,2,5,3,2,0,3,935.0,3,0.0,233.0,1168.0,4,4,1,4,1187,0,0,1187,1.0,0.0,2,0,3,1,1,6,7,0,5,4,1992.0,2,2.0,420.0,2,3,2,483,21,0,0,0,0,4,3,1,500,3,2010,4,185000,44.799553569204235
2339,527250040,190,5,100.0,34650,1,2,0,0,2,1,0,15,5,4,0,4,5,5,44.21538193886829,1955,5,0,5,5,1,0.0,1,3,3,2,2,1,0,1056.0,3,0.0,0.0,1056.0,4,2,0,4,1056,0,0,1056,1.0,0.0,1,0,3,1,1,5,7,0,5,4,1955.0,2,2.0,572.0,2,3,2,264,0,0,0,0,0,4,4,4,0,1,2006,4,145000,44.21538193886829
624,535104120,20,5,92.0,10573,1,2,2,1,2,2,0,11,5,4,3,4,6,6,44.28317965096906,1961,5,0,6,8,2,3.0,1,3,3,2,2,0,0,1312.0,3,0.0,141.0,1453.0,4,4,1,4,1453,0,0,1453,1.0,0.0,2,0,3,1,1,6,7,1,2,4,1961.0,1,2.0,530.0,2,3,2,0,49,0,0,288,0,4,3,4,0,4,2009,4,187500,44.28317965096906
86,532376160,20,5,65.0,8450,1,2,0,1,2,1,0,8,2,4,3,4,5,8,44.328320518603,2009,2,0,6,8,1,0.0,1,2,3,2,2,0,5,553.0,0,117.0,224.0,894.0,4,4,1,4,894,0,0,894,1.0,0.0,1,0,3,1,1,5,7,1,3,1,1973.0,0,1.0,336.0,2,3,2,416,144,0,0,0,0,4,2,4,0,4,2010,4,138500,44.82186966202994
1534,909277040,50,5,50.0,11700,1,0,2,3,2,1,2,19,5,4,3,1,5,6,44.01136216933077,1995,2,0,7,7,1,0.0,1,3,3,2,2,0,1,606.0,3,0.0,336.0,942.0,4,4,1,4,1265,673,0,1938,0.0,0.0,2,0,4,1,2,7,4,1,3,1,1937.0,0,1.0,240.0,2,3,2,0,40,0,0,0,0,4,4,4,0,7,2008,4,198000,44.66542286825459
2243,911103060,190,2,75.0,8250,1,2,0,1,2,1,0,1,3,4,0,6,5,6,43.53159771935783,2006,2,0,11,12,1,0.0,1,2,3,2,2,0,4,0.0,3,0.0,957.0,957.0,4,1,0,4,1034,957,0,1991,0.0,0.0,2,0,4,2,1,9,7,0,5,6,1958.0,3,0.0,0.0,5,5,0,0,0,133,0,0,0,4,4,4,0,6,2007,4,119600,44.78839135311738
